"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"DE","Germany","TOTAL","2020","10758006795","0","10758006795","303822367.17","0","0","303822367.17","1341882121.81","169941707.41","669443281","502497133.4","3825656107.21","1197358.27","3994400456.35","4800719956.92","44.62","44.62"
"GR","Greece","ERDF","2015","8165716612","0","8165716612","230258611.32","268635046.46","0","498893657.78","0","0","0","0","0","0","0","498893657.78","6.11","6.11"
"DK","Denmark","TOTAL","2016","206615841","0","206615841","5826566.73","0","0","5826566.73","3884377.82","0","0","3884377.82","786718.46","0","786718.46","10497663.01","5.08","5.08"
"ES","Spain","ERDF","2021","20681482557","-2111646","20679370911","638552276.36","0","21531983.27","617020293.09","2892122676.4","276886565.47","1744042669.02","871193441.91","11037618431.16","174161357.34","11140343639.29","12628557374.29","61.07","61.06"
"LV","Latvia","ERDF","2019","2401252452","0","2401252452","67715319.12","0","0","67715319.12","231360673.67","11706215.99","154760610.19","64893847.49","805348739.79","1507380.69","815547575.09","948156741.7","39.49","39.49"
"DE","Germany","ERDF","2014","10083052883","0","10083052883","74044322.12","0","0","74044322.12","0","0","0","0","0","0","0","74044322.12","0.73","0.73"
"ES","Spain","TOTAL","2021","20681482557","-2111646","20679370911","638552276.36","0","21531983.27","617020293.09","2892122676.4","276886565.47","1744042669.02","871193441.91","11037618431.16","174161357.34","11140343639.29","12628557374.29","61.07","61.06"
"IE","Ireland","TOTAL","2014","409206529","0","409206529","5769812.06","0","0","5769812.06","0","0","0","0","0","0","0","5769812.06","1.41","1.41"
"EE","Estonia","ERDF","2014","1874261393","0","1874261393","17618057.09","0","0","17618057.09","0","0","0","0","0","0","0","17618057.09","0.94","0.94"
"CY","Cyprus","CF","2017","294869025","0","294869025","10134768","0","0","10134768","11718325.5","241661.63","4825722.37","6650941.5","29517439.22","0","29759100.85","46544810.35","15.78","15.78"
"ES","Spain","ERDF","2015","15469698968","0","15469698968","456108768.85","0","0","456108768.85","0","0","0","0","455852047.78","0","455852047.78","911960816.63","5.9","5.9"
"HR","Croatia","CF","2018","2509755644","0","2509755644","72179196.39","0","0","72179196.39","176153444.52","0","111276261.1","64877183.42","82915344.52","0","82915344.52","219971724.33","8.76","8.76"
"IT","Italy","ERDF","2014","460532952","0","460532952","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LT","Lithuania","TOTAL","2020","5445470110","0","5445470110","156519288.87","0","0","156519288.87","691293525.86","20102258.67","388218368.44","282972898.75","2960584267.68","838845.06","2979847681.29","3419339868.91","62.79","62.79"
"PL","Poland","ERDF","2015","40213870235","0","40213870235","756020760.48","0","0","756020760.48","0","0","0","0","0","0","0","756020760.48","1.88","1.88"
"MT","Malta","TOTAL","2014","602096106","0","602096106","5659703.39","0","0","5659703.39","0","0","0","0","0","0","0","5659703.39","0.94","0.94"
"BG","Bulgaria","CF","2018","2278307144","0","2278307144","64248261.45","0","0","64248261.45","157943642.74","5969290.72","93080112.35","58894239.67","250299077.16","0","256268367.88","379410869","16.65","16.65"
"FI","Finland","ERDF","2018","791976209","0","791976209","22252604.61","0","0","22252604.61","54778683.73","7506596.28","26799502.49","20472584.96","240144856.26","0","247651452.54","290376642.11","36.66","36.66"
"CY","Cyprus","ERDF","2019","299898560","0","299898560","10988443.09","0","0","10988443.09","28555586.2","7775514","12675313.6","8104758.6","141858635.24","0","149634149.24","168727350.93","56.26","56.26"
"HU","Hungary","CF","2020","6025427012","0","6025427012","169917041.73","0","0","169917041.73","750466934.33","9892943.79","412069289.18","328504701.36","3924583052.9","678730658.48","3255745338.21","3754167081.3","62.31","62.31"
"SE","Sweden","ERDF","2016","944998230","0","944998230","26648949","0","0","26648949","17765966","0","0","17765966","44236589.52","0","44236589.52","88651504.52","9.38","9.38"
"CY","Cyprus","ERDF","2021","299898560","0","299898560","10988443.09","0","0","10988443.09","43010696.81","15769867.32","18842304.23","8398525.26","215818125.42","0","231587992.74","250974961.09","83.69","83.69"
"RO","Romania","CF","2015","6934996977","0","6934996977","195566914.77","0","0","195566914.77","0","0","0","0","0","0","0","195566914.77","2.82","2.82"
"IT","Italy","ERDF","2018","21660538269","0","21660538269","582340156.41","0","0","582340156.41","1457699508.17","17689135.98","880085271.89","559925100.3","2435801500.7","28065.32","2453462571.36","3595727828.07","16.6","16.6"
"LT","Lithuania","TOTAL","2014","5550329393","0","5550329393","52173096.29","0","0","52173096.29","0","0","0","0","0","0","0","52173096.29","0.94","0.94"
"FR","France","TOTAL","2018","8426107776","-127002","8425980774","237689732.43","0","0","237689732.43","584320592.45","17889967.72","348548369.95","217882254.78","1330824524.35","10313715.24","1338400776.83","1793972764.04","21.29","21.29"
"HU","Hungary","TOTAL","2017","16782207702","0","16782207702","473258257.29","0","0","473258257.29","729606480","0","315505504.86","414100975.14","2323857783.34","0","2323857783.34","3211217015.77","19.13","19.13"
"CY","Cyprus","TOTAL","2021","558754752","0","558754752","21123211.09","0","0","21123211.09","83812652.4","25446373.43","40531287.33","17834991.64","366258256.22","0","391704629.65","430662832.38","77.08","77.08"
"LU","Luxembourg","ERDF","2017","19502403","0","19502403","549967.77","0","0","549967.77","847866.98","0","366645.18","481221.8","1582122.9","0","1582122.9","2613312.47","13.4","13.4"
"ES","Spain","ERDF","2020","20681482557","-2111646","20679370911","638552276.36","0","21531983.27","617020293.09","2493234577.4","155789793.52","1299520471.51","1037924312.37","6560350168.45","84079329.08","6632060632.89","8287005238.35","40.07","40.07"
"DE","Germany","ERDF","2016","10773842813","0","10773842813","303822367.17","0","0","303822367.17","202548244.78","0","0","202548244.78","137949348.48","0","137949348.48","644319960.43","5.98","5.98"
"MT","Malta","ERDF","2014","384353997","0","384353997","3612927.57","0","0","3612927.57","0","0","0","0","0","0","0","3612927.57","0.94","0.94"
"MT","Malta","TOTAL","2016","602096106","0","602096106","16979110.17","0","0","16979110.17","11319406.78","0","0","11319406.78","12432976.03","0","12432976.03","40731492.98","6.76","6.76"
"BG","Bulgaria","ERDF","2016","3567667612","0","3567667612","100608226.62","0","0","100608226.62","67072151.08","0","0","67072151.08","213767218.27","0","213767218.27","381447595.97","10.69","10.69"
"SK","Slovakia","ERDF","2017","7291460222","0","7291460222","207560329.74","0","0","207560329.74","319988841.72","0","138373553.16","181615288.56","274769741.74","0","274769741.74","663945360.04","9.11","9.11"
