"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"SI","Slovenia","CF","2018","914046895","0","914046895","25249444.26","0","0","25249444.26","62554338.83","5452546.94","33473679.63","23628112.26","188599480.39","0","194052027.33","242929583.85","26.58","26.58"
"UK","United Kingdom","ERDF","2019","5856532225","-26472308","5830059917","164281476.84","0","0","164281476.84","562835314.78","46703287.14","357955347.73","158176679.91","1493796271.21","16432276.13","1524067282.22","1846525438.97","31.67","31.53"
"UK","United Kingdom","TOTAL","2021","5861030512","-46154833","5814875679","164281476.84","0","0","164281476.84","843373391.98","185167864.66","457606179.1","200599348.22","2994514409.56","16432276.13","3163249998.09","3528130823.15","60.67","60.2"
"GR","Greece","ERDF","2016","8149497340","0","8149497340","307011481.72","537270092.92","0","844281574.64","153505740.8","3123962.08","0","150381778.72","430743721.58","0","433867683.66","1428531037.02","17.53","17.53"
"DK","Denmark","ERDF","2014","206615841","0","206615841","1942188.91","0","0","1942188.91","0","0","0","0","0","0","0","1942188.91","0.94","0.94"
"NL","Netherlands","TOTAL","2018","510282703","0","510282703","14306374.02","0","0","14306374.02","35246467.8","0","22055659.94","13190807.86","80402560.1","0","80402560.1","107899741.98","21.15","21.15"
"LV","Latvia","ERDF","2020","2465883158","0","2465883158","67715319.12","0","0","67715319.12","299075992.79","11779209.47","154760610.19","132536173.13","1167321402.3","1507380.69","1177593231.08","1377844723.33","55.88","55.88"
"RO","Romania","CF","2017","6934996977","0","6934996977","260755886.36","0","0","260755886.36","301498993.61","0","130377943.18","171121050.43","690437458.34","0","690437458.34","1122314395.13","16.18","16.18"
"PL","Poland","TOTAL","2020","63437544387","0","63437544387","1788496431.69","0","0","1788496431.69","7899106323.46","1639337782.34","3552707081.26","2707061459.86","32348951469.98","103369931.05","33884919321.27","38380477212.82","60.5","60.5"
"LU","Luxembourg","ERDF","2015","19502403","0","19502403","366645.18","0","0","366645.18","0","0","0","0","0","0","0","366645.18","1.88","1.88"
"BE","Belgium","TOTAL","2014","949587368","0","949587368","8036204.86","0","0","8036204.86","0","0","0","0","0","0","0","8036204.86","0.85","0.85"
"EE","Estonia","CF","2018","1061534677","0","1061534677","30267677.07","0","0","30267677.07","74103340.21","8975168.61","17509048.83","47619122.77","377640256.41","0","386615425.02","464502224.86","43.76","43.76"
"UK","United Kingdom","ERDF","2017","5856532225","0","5856532225","164281476.84","0","0","164281476.84","253267276.84","0","109520984.56","143746292.28","309042645.41","0","309042645.41","617070414.53","10.54","10.54"
"RO","Romania","TOTAL","2019","17661077676","0","17661077676","664056520.67","0","0","664056520.67","1701644834.16","73674802.97","973307276.69","654662754.5","3732179496.58","0","3805854299.55","5124573574.72","29.02","29.02"
"IE","Ireland","ERDF","2018","410775098","0","410775098","13462894.8","0","0","13462894.8","28408773.79","691346.69","17098907.15","10618519.95","73601616.8","0","74292963.49","98374378.24","23.95","23.95"
"PT","Portugal","TOTAL","2016","13638657876","0","13638657876","448711844.13","0","0","448711844.13","256406768.06","0","0","256406768.06","539212604.4","0","539212604.4","1244331216.59","9.12","9.12"
"FI","Finland","TOTAL","2014","789099456","0","789099456","7395703.03","0","0","7395703.03","0","0","0","0","0","0","0","7395703.03","0.94","0.94"
"CY","Cyprus","TOTAL","2016","561640720","0","561640720","21123211.09","0","0","21123211.09","10558605.54","0","0","10558605.54","2366021.52","0","2366021.52","34047838.15","6.06","6.06"
"SE","Sweden","ERDF","2020","934750041","-19872","934730169","26648949","0","0","26648949","116868056.95","31661164.73","45640205.96","39566686.26","447285050.14","1333879.85","477612335.02","543827970.28","58.18","58.18"
"SK","Slovakia","CF","2021","3991001427","0","3991001427","117544690.23","0","0","117544690.23","598975743.72","67984698.66","338524021.72","192467023.34","2179158294.95","41229539","2205913454.61","2515925168.18","63.04","63.04"
"RO","Romania","TOTAL","2014","1542553192","0","1542553192","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NL","Netherlands","TOTAL","2016","507318228","0","507318228","14306374.02","0","0","14306374.02","9537582.68","0","0","9537582.68","0","0","0","23843956.7","4.7","4.7"
"FI","Finland","TOTAL","2016","789099456","0","789099456","22252604.61","0","0","22252604.61","14835069.74","0","0","14835069.74","56709746.65","0","56709746.65","93797421","11.89","11.89"
"PL","Poland","ERDF","2018","40213870235","0","40213870235","1134031140.72","0","0","1134031140.72","2787826554.4","110970647.62","1637327361.08","1039528545.7","8205507519.61","95003789.49","8221474377.74","10395034064.16","25.85","25.85"
"FR","France","ERDF","2018","8426107776","-127002","8425980774","237689732.43","0","0","237689732.43","584320592.45","17889967.72","348548369.95","217882254.78","1330824524.35","10313715.24","1338400776.83","1793972764.04","21.29","21.29"
"EE","Estonia","TOTAL","2017","2918097420","0","2918097420","83121848.34","0","0","83121848.34","128146182.85","6184484.15","29051630.03","92910068.67","412934321.31","0","419118805.46","595150722.47","20.4","20.4"
"DE","Germany","ERDF","2019","10773842813","0","10773842813","303822367.17","0","0","303822367.17","1038059754.64","77453371.76","669443281","291163101.88","2821322591.11","1197358.27","2897578604.6","3492564073.65","32.42","32.42"
"CY","Cyprus","CF","2014","269541702","0","269541702","3800538","0","0","3800538","0","0","0","0","0","0","0","3800538","1.41","1.41"
"FI","Finland","TOTAL","2018","791976209","0","791976209","22252604.61","0","0","22252604.61","54778683.73","7506596.28","26799502.49","20472584.96","240144856.26","0","247651452.54","290376642.11","36.66","36.66"
"BG","Bulgaria","TOTAL","2019","5845974756","0","5845974756","164856488.07","0","0","164856488.07","560327167.62","74110571.39","332181628.49","154034967.74","1566059456.93","0","1640170028.32","1959061484.13","33.51","33.51"
"PL","Poland","CF","2019","23204989042","0","23204989042","654465290.97","0","0","654465290.97","2236003494.15","459779723.62","1149114116.68","627109653.85","8393308211.57","193650.61","8852894284.58","10134469229.4","43.67","43.67"
"UK","United Kingdom","ERDF","2015","5825584287","0","5825584287","109520984.56","0","0","109520984.56","0","0","0","0","0","0","0","109520984.56","1.88","1.88"
"DK","Denmark","TOTAL","2020","206615841","0","206615841","5826566.73","0","0","5826566.73","25734003.08","2829554.48","11668891.75","11235556.85","82568697.37","0","85398251.85","102460375.43","49.59","49.59"
"NL","Netherlands","TOTAL","2014","507318228","0","507318228","4768791.34","0","0","4768791.34","0","0","0","0","0","0","0","4768791.34","0.94","0.94"
"CY","Cyprus","TOTAL","2014","561840720","0","561840720","7921954.16","0","0","7921954.16","0","0","0","0","0","0","0","7921954.16","1.41","1.41"
"BG","Bulgaria","CF","2019","2278307144","0","2278307144","64248261.45","0","0","64248261.45","219514893.3","16100812.56","141842830.18","61571250.56","362896234.12","0","378997046.68","504816558.69","22.16","22.16"
"BG","Bulgaria","TOTAL","2020","5833979476","0","5833979476","164856488.07","0","0","164856488.07","722123655.69","127442876.4","332181628.49","262499150.8","2102295722.71","0","2229738599.11","2657094237.98","45.55","45.55"
"LT","Lithuania","ERDF","2016","3501411767","0","3501411767","98739811.83","0","0","98739811.83","65826541.22","0","0","65826541.22","154652698.22","0","154652698.22","319219051.27","9.12","9.12"
"SI","Slovenia","TOTAL","2021","2570805288","0","2570805288","90866557.31","0","0","90866557.31","334952320.88","42469809.65","194218641.1","98263870.13","1324154841.88","9306201.74","1357318449.79","1546448877.23","60.15","60.15"
"SI","Slovenia","CF","2015","895370363","0","895370363","16832962.84","0","0","16832962.84","0","0","0","0","0","0","0","16832962.84","1.88","1.88"
"SI","Slovenia","CF","2021","914046895","0","914046895","25249444.26","0","0","25249444.26","131313516.55","36084774.66","63584500.95","31644240.94","483466488.32","0","519551262.98","576444948.18","63.07","63.07"
"MT","Malta","ERDF","2016","384353997","0","384353997","10838782.71","0","0","10838782.71","7225855.14","0","0","7225855.14","12432976.03","0","12432976.03","30497613.88","7.93","7.93"
"LU","Luxembourg","TOTAL","2014","19502403","0","19502403","183322.59","0","0","183322.59","0","0","0","0","0","0","0","183322.59","0.94","0.94"
"PL","Poland","TOTAL","2015","63421859277","0","63421859277","1192330954.46","0","0","1192330954.46","0","0","0","0","0","0","0","1192330954.46","1.88","1.88"
"LU","Luxembourg","ERDF","2016","19502403","0","19502403","549967.77","0","0","549967.77","366645.18","0","0","366645.18","312993.86","0","312993.86","1229606.81","6.3","6.3"
"SE","Sweden","TOTAL","2017","934750041","0","934750041","26648949","0","0","26648949","41083796.39","0","17765966","23317830.39","132592329.67","0","132592329.67","182559109.06","19.53","19.53"
"MT","Malta","TOTAL","2020","573346106","0","573346106","16979110.17","0","0","16979110.17","74661069.92","12596503.21","37861807.8","24202758.91","219856855.97","0","232453359.18","273635228.26","47.73","47.73"
"HU","Hungary","ERDF","2019","10785240317","0","10785240317","303341215.56","0","0","303341215.56","1037184941.28","102663773.49","643050048.1","291471119.69","4196261033.28","203498422.96","4095426383.81","4690238719.06","43.49","43.49"
"RO","Romania","ERDF","2014","1542553192","0","1542553192","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PT","Portugal","CF","2015","2861742164","0","2861742164","67250940.85","0","0","67250940.85","0","0","0","0","0","0","0","67250940.85","2.35","2.35"
"BG","Bulgaria","ERDF","2015","3567667612","0","3567667612","67072151.08","0","0","67072151.08","0","0","0","0","0","0","0","67072151.08","1.88","1.88"
"ES","Spain","TOTAL","2015","15469698968","0","15469698968","456108768.85","0","0","456108768.85","0","0","0","0","455852047.78","0","455852047.78","911960816.63","5.9","5.9"
"LT","Lithuania","CF","2020","2039817626","0","2039817626","57779477.04","0","0","57779477.04","255192690.27","9168302.5","156416953.85","89607433.92","1284324082.89","0","1293492385.39","1440879296.35","70.64","70.64"
"HR","Croatia","CF","2015","2559545971","0","2559545971","48119464.26","0","0","48119464.26","0","0","0","0","0","0","0","48119464.26","1.88","1.88"
"BG","Bulgaria","CF","2014","1144687261","0","1144687261","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ES","Spain","ERDF","2014","877216323","0","877216323","12000549","0","0","12000549","0","0","0","0","0","0","0","12000549","1.37","1.37"
"PL","Poland","CF","2016","23207989042","0","23207989042","654465290.97","0","0","654465290.97","436310193.98","0","0","436310193.98","1682453672.55","0","1682453672.55","2773229157.5","11.95","11.95"
"SK","Slovakia","ERDF","2021","7164982077","-38892342","7126089735","228999439.08","0","0","228999439.08","1048470799.23","71707297.96","654562418.24","322201083.03","2369658370.24","37469637.84","2403896030.36","2955096552.47","41.47","41.24"
"SI","Slovenia","ERDF","2020","1416685363","0","1416685363","39209079.75","0","0","39209079.75","175305097.07","6385034.99","90683612.92","78236449.16","613963300.07","0","620348335.06","737793863.97","52.08","52.08"
"IE","Ireland","TOTAL","2015","409206529","0","409206529","9616353.43","0","0","9616353.43","0","0","0","0","0","0","0","9616353.43","2.35","2.35"
"IT","Italy","TOTAL","2014","460532952","0","460532952","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EE","Estonia","CF","2017","1061534677","0","1061534677","30267677.07","0","0","30267677.07","46662668.82","0","0","46662668.82","218159574.49","0","218159574.49","295089920.38","27.8","27.8"
"CZ","Czechia","TOTAL","2020","17844214726","0","17844214726","513229152.96","0","0","513229152.96","2257440118.94","380033559.91","1130974034.28","746432524.75","8426545570.18","15959292.83","8790619837.26","10050281514.97","56.32","56.32"
"CZ","Czechia","CF","2016","6258925722","0","6258925722","176501705.37","0","0","176501705.37","117667803.58","0","0","117667803.58","50159973.56","0","50159973.56","344329482.51","5.5","5.5"
"LV","Latvia","CF","2020","1246634592","0","1246634592","38053494.39","0","0","38053494.39","168069600.23","19308795.97","76552361.75","72208442.51","506413721.1","0","525722517.07","635984453.97","51.02","51.02"
"BG","Bulgaria","CF","2020","2206897416","0","2206897416","64248261.45","0","0","64248261.45","283763154.75","27596138.58","141842830.18","114324185.99","594166594.73","0","621762733.31","800335180.75","36.27","36.27"
"EE","Estonia","ERDF","2020","1861084020","0","1861084020","52854171.27","0","0","52854171.27","232254025.89","35876176.23","105467616.16","90910233.5","907103293.99","0","942979470.22","1086743874.99","58.39","58.39"
"SK","Slovakia","ERDF","2020","6970081083","-38892342","6931188741","207560329.74","0","0","207560329.74","905949004.53","41543574.59","483526461.28","380878968.66","1821923964.11","15038216.49","1848429322.21","2436868620.61","35.16","34.96"
"DE","Germany","ERDF","2020","10758006795","0","10758006795","303822367.17","0","0","303822367.17","1341882121.81","169941707.41","669443281","502497133.4","3825656107.21","1197358.27","3994400456.35","4800719956.92","44.62","44.62"
"SK","Slovakia","TOTAL","2021","11155983504","-38892342","11117091162","346544129.31","0","0","346544129.31","1647446542.95","139691996.62","993086439.96","514668106.37","4548816665.19","78699176.84","4609809484.97","5471021720.65","49.21","49.04"
"IT","Italy","ERDF","2017","21495538269","0","21495538269","582340156.41","0","0","582340156.41","897774407.87","0","388226770.94","509547636.93","469026882.75","0","469026882.75","1560914676.09","7.26","7.26"
"BG","Bulgaria","TOTAL","2014","1604449168","0","1604449168","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DE","Germany","ERDF","2018","10773842813","0","10773842813","303822367.17","0","0","303822367.17","746896652.76","19017418.02","449375398.13","278503836.61","1635230792.47","0","1654248210.49","2236574414.27","20.76","20.76"
"BE","Belgium","ERDF","2015","949587368","0","949587368","17852241.56","0","0","17852241.56","0","0","0","0","0","0","0","17852241.56","1.88","1.88"
"NL","Netherlands","TOTAL","2020","510282703","0","510282703","14306374.02","0","0","14306374.02","63426830.02","9313440.23","32150465.08","21962924.71","191573477.49","0","200886917.72","237156216.45","46.48","46.48"
"AT","Austria","ERDF","2017","536262079","0","536262079","15122590.62","0","0","15122590.62","23313993.89","0","10081727.08","13232266.81","33441668.05","0","33441668.05","61796525.48","11.52","11.52"
"AT","Austria","ERDF","2020","536262079","0","536262079","15122590.62","0","0","15122590.62","66791441.93","4357479.49","33623355.97","28810606.47","156442109.88","0","160799589.37","204732786.46","38.18","38.18"
"PT","Portugal","TOTAL","2018","13642132876","0","13642132876","448711844.13","0","0","448711844.13","945499957.29","103023982.03","489916669.16","352559306.1","3344931097.39","0","3447955079.42","4249226229.65","31.15","31.15"
"DE","Germany","ERDF","2015","10773842813","0","10773842813","202548244.78","0","0","202548244.78","0","0","0","0","0","0","0","202548244.78","1.88","1.88"
"PT","Portugal","ERDF","2015","10776915712","0","10776915712","253257519.25","0","0","253257519.25","0","0","0","0","0","0","0","253257519.25","2.35","2.35"
"MT","Malta","TOTAL","2018","602096106","0","602096106","16979110.17","0","0","16979110.17","41740312.51","393750","25782378.18","15564184.33","89830614.75","0","90224364.75","122767659.25","20.39","20.39"
"UK","United Kingdom","TOTAL","2019","5856532225","-26472308","5830059917","164281476.84","0","0","164281476.84","562835314.78","46703287.14","357955347.73","158176679.91","1493796271.21","16432276.13","1524067282.22","1846525438.97","31.67","31.53"
"HR","Croatia","TOTAL","2017","6831255232","0","6831255232","194045484.78","0","0","194045484.78","299153455.73","0","129363656.52","169789799.21","266936808.25","0","266936808.25","630772092.24","9.23","9.23"
"SI","Slovenia","CF","2017","914046895","0","914046895","25249444.26","0","0","25249444.26","38926226.57","0","16832962.84","22093263.73","90200522.69","0","90200522.69","137543230.68","15.05","15.05"
"CZ","Czechia","TOTAL","2017","18084635726","0","18084635726","513229152.96","0","0","513229152.96","791228277.49","0","342152768.64","449075508.85","1296975555.41","0","1296975555.41","2259280217.22","12.49","12.49"
"CZ","Czechia","TOTAL","2018","18084635726","0","18084635726","513229152.96","0","0","513229152.96","1258716110.99","36148278.24","755079999.25","467487833.5","2995081274.49","0","3031229552.73","4011946539.19","22.18","22.18"
"SE","Sweden","ERDF","2015","944998230","0","944998230","17765966","0","0","17765966","0","0","0","0","0","0","0","17765966","1.88","1.88"
"SE","Sweden","ERDF","2017","934750041","0","934750041","26648949","0","0","26648949","41083796.39","0","17765966","23317830.39","132592329.67","0","132592329.67","182559109.06","19.53","19.53"
"MT","Malta","TOTAL","2015","602096106","0","602096106","11319406.78","0","0","11319406.78","0","0","0","0","0","0","0","11319406.78","1.88","1.88"
"DK","Denmark","ERDF","2021","329718140","0","329718140","19367819.62","0","0","19367819.62","32328365.88","5000028.61","15324984.35","12003352.92","100343878.22","0","105343906.83","136715079.37","41.46","41.46"
"MT","Malta","CF","2018","217742109","0","217742109","6140327.46","0","0","6140327.46","15094971.68","0","9466338.17","5628633.51","30966666.88","0","30966666.88","42735627.85","19.63","19.63"
"ES","Spain","TOTAL","2020","20681482557","-2111646","20679370911","638552276.36","0","21531983.27","617020293.09","2493234577.4","155789793.52","1299520471.51","1037924312.37","6560350168.45","84079329.08","6632060632.89","8287005238.35","40.07","40.07"
"TC","Interreg","TOTAL","2014","1972500983","0","1972500983","19725009.83","0","0","19725009.83","0","0","0","0","0","0","0","19725009.83","1","1"
"DK","Denmark","TOTAL","2015","206615841","0","206615841","3884377.82","0","0","3884377.82","0","0","0","0","0","0","0","3884377.82","1.88","1.88"
"LV","Latvia","CF","2018","1349414695","0","1349414695","38053494.39","0","0","38053494.39","93548173.72","11610221.42","47055582.44","34882369.86","199446921.31","0","211057142.73","283993006.98","21.05","21.05"
"MT","Malta","ERDF","2020","368353997","0","368353997","10838782.71","0","0","10838782.71","47541290.3","7752002.45","24040672.33","15748615.52","139899702.85","0","147651705.3","174239103.53","47.3","47.3"
"EE","Estonia","CF","2019","1061534677","0","1061534677","30267677.07","0","0","30267677.07","102791314.85","21896954.25","32027934.58","48866426.02","528492939.3","0","550389893.55","629523996.64","59.3","59.3"
"MT","Malta","CF","2015","217742109","0","217742109","4093551.64","0","0","4093551.64","0","0","0","0","0","0","0","4093551.64","1.88","1.88"
"BE","Belgium","TOTAL","2019","953009307","0","953009307","26778362.34","0","0","26778362.34","91673672.55","7566940.22","58351657.43","25755074.9","245212919.35","0","252779859.57","305313296.81","32.04","32.04"
"FR","France","ERDF","2016","8426107776","0","8426107776","237689732.43","0","0","237689732.43","158459821.62","0","0","158459821.62","73932310.58","0","73932310.58","470081864.63","5.58","5.58"
"LV","Latvia","ERDF","2017","2401252452","0","2401252452","67715319.12","0","0","67715319.12","104394450.32","78597.03","45064949.05","59250904.24","130601890.7","0","130680487.73","257646711.09","10.73","10.73"
"RO","Romania","ERDF","2020","11126080699","0","11126080699","403300634.31","0","0","403300634.31","1335933351.07","103842479.29","702990230.96","529100640.82","3405365499.97","2288074.45","3506919904.81","4439321179.94","39.9","39.9"
"CY","Cyprus","ERDF","2014","292299018","0","292299018","4121416.16","0","0","4121416.16","0","0","0","0","0","0","0","4121416.16","1.41","1.41"
"SI","Slovenia","ERDF","2015","1390392899","0","1390392899","26139386.5","0","0","26139386.5","0","0","0","0","0","0","0","26139386.5","1.88","1.88"
"EE","Estonia","TOTAL","2015","2947583275","0","2947583275","55414565.56","0","0","55414565.56","0","0","0","0","12769753.42","0","12769753.42","68184318.98","2.31","2.31"
"DK","Denmark","TOTAL","2021","329718140","0","329718140","19367819.62","0","0","19367819.62","32328365.88","5000028.61","15324984.35","12003352.92","100343878.22","0","105343906.83","136715079.37","41.46","41.46"
"BG","Bulgaria","ERDF","2020","3627082060","0","3627082060","100608226.62","0","0","100608226.62","438360500.94","99846737.82","190338798.31","148174964.81","1508129127.98","0","1607975865.8","1856759057.23","51.19","51.19"
"PT","Portugal","ERDF","2021","12326523719","0","12326523719","500371941.37","0","0","500371941.37","1586527901.1","380260602.09","750029407.93","456237891.08","8018425577.69","16625259.28","8382060920.5","9338670752.95","75.76","75.76"
"UK","United Kingdom","TOTAL","2016","5825584287","0","5825584287","164281476.84","0","0","164281476.84","109520984.56","0","0","109520984.56","66689245.36","0","66689245.36","340491706.76","5.84","5.84"
"RO","Romania","ERDF","2017","10726080699","0","10726080699","403300634.31","0","0","403300634.31","466316358.38","0","201650317.14","264666041.24","379608777.24","0","379608777.24","1047575452.79","9.77","9.77"
"PT","Portugal","ERDF","2017","10776915712","0","10776915712","354560526.94","0","0","354560526.94","468526410.62","1608346.7","200997668.68","265920395.24","1650914431.23","0","1652522777.93","2273003700.11","21.09","21.09"
"BG","Bulgaria","TOTAL","2017","5845974756","0","5845974756","164856488.07","0","0","164856488.07","254153752.47","3767144.99","106137180.39","144249427.09","577038612.26","0","580805757.25","889911672.41","15.22","15.22"
"IT","Italy","ERDF","2021","23156592052","0","23156592052","759940656.41","0","0","759940656.41","3085519472.48","376799515.8","1863167137.78","845552818.9","11472406429.41","81806034.39","11767399910.82","13372893386.13","57.75","57.75"
"BG","Bulgaria","CF","2017","2278307144","0","2278307144","64248261.45","0","0","64248261.45","99049403.07","0","42832174.3","56217228.77","112815351.15","0","112815351.15","233280841.37","10.24","10.24"
"MT","Malta","CF","2017","217742109","0","217742109","6140327.46","0","0","6140327.46","9466338.17","0","4093551.64","5372786.53","10979416.08","0","10979416.08","22492530.07","10.33","10.33"
"SI","Slovenia","TOTAL","2015","2285763262","0","2285763262","42972349.34","0","0","42972349.34","0","0","0","0","0","0","0","42972349.34","1.88","1.88"
"LT","Lithuania","CF","2018","2048917626","0","2048917626","57779477.04","0","0","57779477.04","142041214.4","9168302.5","79908391.28","52964520.62","566580757.68","0","575749060.18","686493057.84","33.51","33.51"
"SE","Sweden","TOTAL","2014","936493246","0","936493246","6762605","0","0","6762605","0","0","0","0","0","0","0","6762605","0.72","0.72"
"FI","Finland","ERDF","2014","789099456","0","789099456","7395703.03","0","0","7395703.03","0","0","0","0","0","0","0","7395703.03","0.94","0.94"
"EU28","EU28","CF","2017","63282608285","0","63282608285","1899468771.83","213640339.36","0","2113109111.19","2755985171.01","60035254.05","1111636875.63","1584313041.33","7429154473.11","0","7489189727.16","11186611879.68","17.68","17.68"
"EU28","EU28","CF","2020","61455291487","0","61455291487","1899468771.83","213640339.36","0","2113109111.19","7886536387.7","1192718696.1","3648540441.69","3045277249.91","29279158010.72","723732021.27","29748144685.55","34906531046.65","56.8","56.8"
"FI","Finland","ERDF","2020","791976209","0","791976209","22252604.61","0","0","22252604.61","98515569.79","18687038.03","40864223.98","38964307.78","407549039.23","0","426236077.26","487452989.65","61.55","61.55"
"DK","Denmark","TOTAL","2018","206615841","0","206615841","5826566.73","0","0","5826566.73","14323643.23","1143178.5","7839445.23","5341019.5","34939694.31","0","36082872.81","47250459.04","22.87","22.87"
"FI","Finland","TOTAL","2019","791976209","0","791976209","22252604.61","0","0","22252604.61","76181840.74","13914459.75","40864223.98","21403157.01","332936165.4","0","346850625.15","390506386.77","49.31","49.31"
"DE","Germany","ERDF","2017","10773842813","0","10773842813","303822367.17","0","0","303822367.17","468392816.15","0","202548244.78","265844571.37","729411336.72","0","729411336.72","1299078275.26","12.06","12.06"
"NL","Netherlands","TOTAL","2015","507318228","0","507318228","9537582.68","0","0","9537582.68","0","0","0","0","0","0","0","9537582.68","1.88","1.88"
"RO","Romania","ERDF","2016","10726080699","0","10726080699","403300634.31","0","0","403300634.31","201650317.14","0","0","201650317.14","0","0","0","604950951.45","5.64","5.64"
"GR","Greece","TOTAL","2016","11390067403","0","11390067403","429091675.64","750910432.28","0","1180002107.92","214545837.76","3123962.08","0","211421875.68","442646696.49","0","445770658.57","1837194642.17","16.13","16.13"
"HR","Croatia","CF","2016","2559545971","0","2559545971","72179196.39","0","0","72179196.39","48119464.26","0","0","48119464.26","0","0","0","120298660.65","4.7","4.7"
"BG","Bulgaria","TOTAL","2018","5845974756","0","5845974756","164856488.07","0","0","164856488.07","405272199.88","37537325.18","216616427.29","151118447.41","1013586387.19","0","1051123712.37","1367098647.85","23.39","23.39"
"HU","Hungary","CF","2015","6025427012","0","6025427012","113278027.82","0","0","113278027.82","0","0","0","0","0","0","0","113278027.82","1.88","1.88"
"PT","Portugal","TOTAL","2014","13638657876","0","13638657876","86094848.09","0","0","86094848.09","0","0","0","0","0","0","0","86094848.09","0.63","0.63"
"LV","Latvia","ERDF","2018","2401252452","0","2401252452","67715319.12","0","0","67715319.12","166466826.18","11706215.99","92688234.33","62072375.86","340954650.14","0","352660866.13","482448561.11","20.09","20.09"
"HR","Croatia","CF","2020","2130755644","0","2130755644","72179196.39","0","0","72179196.39","314754700","11507073.97","169043028.57","134204597.46","436028644.5","0","447535718.47","653919512.32","30.69","30.69"
"LV","Latvia","CF","2019","1349414695","0","1349414695","38053494.39","0","0","38053494.39","130016105.84","16995811.97","76552361.75","36467932.12","360848913.13","0","377844725.1","452366151.61","33.52","33.52"
"CZ","Czechia","CF","2018","6143946095","0","6143946095","176501705.37","0","0","176501705.37","430927802.33","23550213.82","248556581.96","158821006.55","1471091221.88","0","1494641435.7","1829964147.62","29.78","29.78"
"AT","Austria","TOTAL","2021","660082451","0","660082451","28742831.54","0","0","28742831.54","79993090.95","7406120.63","45697305.45","26889664.87","243431858.95","0","250837979.58","306470475.99","46.43","46.43"
"DK","Denmark","ERDF","2019","206615841","0","206615841","5826566.73","0","0","5826566.73","19907436.35","2654751.48","11668891.75","5583793.12","58060012.23","0","60714763.71","72125123.56","34.91","34.91"
"EU28","EU28","CF","2019","63279608285","0","63279608285","1899468771.83","213640339.36","0","2113109111.19","6101966834.09","766844195.45","3628361990.31","1706760648.33","20901948351.72","722483375.33","20946309171.84","24766178931.36","39.14","39.14"
"LU","Luxembourg","TOTAL","2017","19502403","0","19502403","549967.77","0","0","549967.77","847866.98","0","366645.18","481221.8","1582122.9","0","1582122.9","2613312.47","13.4","13.4"
"IT","Italy","TOTAL","2021","23156592052","0","23156592052","759940656.41","0","0","759940656.41","3085519472.48","376799515.8","1863167137.78","845552818.9","11472406429.41","81806034.39","11767399910.82","13372893386.13","57.75","57.75"
"SI","Slovenia","TOTAL","2017","2330732258","0","2330732258","64458524.01","0","0","64458524.01","99373557.85","0","42972349.34","56401208.51","141732346.05","0","141732346.05","262592078.57","11.27","11.27"
"PL","Poland","TOTAL","2017","63421859277","0","63421859277","1788496431.69","0","0","1788496431.69","2757265332.28","46269824.73","1146061129.73","1564934377.82","6283298636.14","0","6329568460.87","9682999270.38","15.27","15.27"
"HR","Croatia","CF","2019","2509755644","0","2509755644","72179196.39","0","0","72179196.39","243979590.82","7110415.95","169043028.57","67826146.3","277333189.58","0","284443605.53","424448948.22","16.91","16.91"
"PT","Portugal","ERDF","2019","10776915712","0","10776915712","354560526.94","0","0","354560526.94","1038378442.82","202734625.06","544375056.72","291268761.04","4236596298.39","0","4439330923.45","5085160211.43","47.19","47.19"
"BE","Belgium","ERDF","2016","949587368","0","949587368","26778362.34","0","0","26778362.34","17852241.56","0","0","17852241.56","0","0","0","44630603.9","4.7","4.7"
"LT","Lithuania","TOTAL","2019","5550329393","0","5550329393","156519288.87","0","0","156519288.87","534774236.99","20102258.67","388218368.44","126453609.88","1744087314.88","838845.06","1763350728.49","2046323627.24","36.87","36.87"
"LU","Luxembourg","ERDF","2020","19502403","0","19502403","549967.77","0","0","549967.77","2429024.32","559464.31","1124807.88","744752.13","10031112.93","830013.35","9760563.89","11055283.79","56.69","56.69"
"GR","Greece","TOTAL","2014","11412736113","0","11412736113","63638622.91","0","0","63638622.91","0","0","0","0","0","0","0","63638622.91","0.56","0.56"
"PT","Portugal","CF","2018","2861742164","0","2861742164","94151317.19","0","0","94151317.19","198390275.51","9952323.96","114461916.61","73976034.94","426739023.91","0","436691347.87","604818700","21.13","21.13"
"PL","Poland","CF","2015","23207989042","0","23207989042","436310193.98","0","0","436310193.98","0","0","0","0","0","0","0","436310193.98","1.88","1.88"
