"ms"	"ms_name"	"fund"	"year"	"planned_eu_amount"	"n_3_decommitment_amount"	"de_commitments_at_closure"	"rec_at_closure"	"net_planned_eu_amount"	"cumulative_initial_pre_financing"	"cumulative_additional_initial_pre_financing"	"recovery_of_initial_pre_financing"	"net_initial_pre_financing"	"cumulative_annual_pre_financing"	"annual_pre_financing_covered_by_expenditure"	"pf_covered_by_expenditure_at_closure_clearing"	"recovery_of_annual_pre_financing"	"recovery_of_pf_at_closure"	"net_annual_pre_financing"	"cumulative_interim_payments"	"recovery_of_expenses"	"recovery_of_expenses_at_closure"	"payment_at_closure"	"net_interim_payments"	"total_net_payments"	"eu_payment_rate"	"eu_payment_rate_on_planned_eu_amount"
"23"	"NL"	"Netherlands"	"ERDF"	2024	791056051	0	0	0	791056051	47368625.97	0	0	47368625.97	109683026.38	41798836.82	0	60311237.05	0	54941578.48	687037590.9	0	0	0	728836427.72	783778006.2	99.0799583934919	99.0799583934919
"24"	"PL"	"Poland"	"TOTAL"	2021	64879004975	0	0	0	64879004975	1943386912.05	0	0	1943386912.05	9174735397.44	2451786154.8	0	4528755140.49	0	4137581014.2	43093589060.6	103369931.05	0	0	45442005284.35	49579586298.55	76.4185368096423	76.4185368096423
"25"	"SI"	"Slovenia"	"CF"	2024	914046895	0	0	0	914046895	25249444.26	0	0	25249444.26	167875392.35	42326503.67	0	112185585.64	0	38612747.3	840721737.67	7614093.64	0	0	875434147.7	914046895	100	100
"26"	"HU"	"Hungary"	"TOTAL"	2018	16810667329	0	0	0	16810667329	473258257.29	0	0	473258257.29	1163426549.19	46841084.51	0	682765395.49	0	907078326.48	4726561018.92	2375028.29	0	0	4771027075.14	5678105401.62	33.7767995195808	33.7767995195808
"27"	"EE"	"Estonia"	"ERDF"	2019	1861084020	0	0	0	1861084020	52854171.27	0	0	52854171.27	179771456.55	24008044.77	0	105467616.16	0	103149966.89	623527561.74	0	0	0	647535606.51	750685573.4	40.3359313890622	40.3359313890622
"28"	"PL"	"Poland"	"ERDF"	2021	41739074009	0	0	0	41739074009	1288921621.08	0	0	1288921621.08	5821467993	1477364153.89	0	2990162547.08	0	2642862913.11	27679725299.29	103176280.44	0	0	29053913172.74	31696776085.85	75.9402953669154	75.9402953669154
"29"	"FR"	"France"	"ERDF"	2023	11135137721	1961802	0	0	11133175919	547565185.23	0	0	547565185.23	1679878237.13	411363234.88	0	906532535.84	0	909547651.64	8071350316.9	36900423.85	0	0	8445813127.93	9355360779.57	84.0313747634584	84.0165700144554
"30"	"FI"	"Finland"	"TOTAL"	2026	911584250.39	0	0	84064.39	911500186	36354536.76	0	0	36354536.76	145781633.4	59669183.85	52090557.51	70292364.41	84064.39	0	799656380.25	0	0	0	911416121.61	911500186	100	99.9907782094783
"31"	"BE"	"Belgium"	"TOTAL"	2024	1077621364	0	0	0	1077621364	42388295.19	0	0	42388295.19	180713574.01	50464972.27	0	110172408.92	0	62464488.01	936726123.31	2389164.25	0	0	984801931.33	1047266419.34	97.1831530374151	97.1831530374151
"32"	"BE"	"Belgium"	"ERDF"	2018	953009307	0	0	0	953009307	26778362.34	0	0	26778362.34	65918597.65	2107708.7	0	39175599.92	0	51413651.37	104502402.71	0	0	0	106610111.41	158023762.78	16.5815550403644	16.5815550403644
"33"	"LV"	"Latvia"	"CF"	2019	1349414695	0	0	0	1349414695	38053494.39	0	0	38053494.39	130016105.84	16995811.97	0	76552361.75	0	74521426.51	360848913.13	0	0	0	377844725.1	452366151.61	33.5231380898813	33.5231380898813
"34"	"DE"	"Germany"	"TOTAL"	2018	10773842813	0	0	0	10773842813	303822367.17	0	0	303822367.17	746896652.76	19017418.02	0	449375398.13	0	582326203.78	1635230792.47	0	0	0	1654248210.49	2236574414.27	20.7593005865214	20.7593005865214
"35"	"CY"	"Cyprus"	"ERDF"	2023	367214564	0	0	0	367214564	17952476.59	0	0	17952476.59	52497936.28	25943480.13	0	21593171.62	0	22913761.12	318357322.75	0	0	0	344300802.88	367214564	100	100
"36"	"SI"	"Slovenia"	"TOTAL"	2020	2330732258	0	0	0	2330732258	64458524.01	0	0	64458524.01	288337675.72	30274925.57	0	140686875.49	0	181834398.67	1034369700.3	0	0	0	1064644625.87	1246479024.54	53.4801464330186	53.4801464330186
"37"	"HU"	"Hungary"	"CF"	2022	6025427012	0	0	0	6025427012	169917041.73	0	0	169917041.73	991484014.81	12868325.47	0	699519489.47	0	449013241.6	5610018182.67	777203302.59	0	0	4845683205.55	5294696447.15	87.8725513827533	87.8725513827533
"38"	"HU"	"Hungary"	"CF"	2024	6025427012	0	0	0	6025427012	169917041.73	0	0	169917041.73	1057978376.07	53406714.64	0	847683077.75	0	326805625.41	6593570710.92	948356038.97	0	0	5698621386.59	6025427012	100	100
"39"	"UK"	"United Kingdom"	"TOTAL"	2017	5856532225	0	0	0	5856532225	164281476.84	0	0	164281476.84	253267276.84	0	0	109520984.56	0	308027769.12	309042645.41	0	0	0	309042645.41	617070414.53	10.5364470103296	10.5364470103296
"40"	"LV"	"Latvia"	"ERDF"	2018	2401252452	0	0	0	2401252452	67715319.12	0	0	67715319.12	166466826.18	11706215.99	0	92688234.33	0	129787694.98	340954650.14	0	0	0	352660866.13	482448561.11	20.0915385097543	20.0915385097543
"41"	"CZ"	"Czechia"	"TOTAL"	2020	17844214726	0	0	0	17844214726	513229152.96	0	0	513229152.96	2257440118.94	380033559.91	0	1130974034.28	0	1259661677.71	8426545570.18	15959292.83	0	0	8790619837.26	10050281514.97	56.3223524783424	56.3223524783424
"42"	"NL"	"Netherlands"	"TOTAL"	2020	510282703	0	0	0	510282703	14306374.02	0	0	14306374.02	63426830.02	9313440.23	0	32150465.08	0	36269298.73	191573477.49	0	0	0	200886917.72	237156216.45	46.4754566548575	46.4754566548575
"43"	"UK"	"United Kingdom"	"ERDF"	2016	5825584287	0	0	0	5825584287	164281476.84	0	0	164281476.84	109520984.56	0	0	0	0	273802461.4	66689245.36	0	0	0	66689245.36	340491706.76	5.84476491945742	5.84476491945742
"44"	"MT"	"Malta"	"TOTAL"	2016	602096106	0	0	0	602096106	16979110.17	0	0	16979110.17	11319406.78	0	0	0	0	28298516.95	12432976.03	0	0	0	12432976.03	40731492.98	6.76494874723538	6.76494874723538
"45"	"MT"	"Malta"	"ERDF"	2023	379516282	0	0	0	379516282	10838782.71	0	0	10838782.71	69509021.52	18721968.51	0	38536894.56	0	23088941.16	275239941.79	0	0	0	293961910.3	317050851.46	83.5407771674998	83.5407771674998
"46"	"CZ"	"Czechia"	"ERDF"	2023	12848248555	0	0	0	12848248555	712376659.74	0	0	712376659.74	2248771495.71	772933511.64	0	1070933838.95	0	1117280804.86	10566207920.68	16009566.99	0	0	11323131865.33	12440412670.19	96.8257472365657	96.8257472365657
"47"	"DK"	"Denmark"	"ERDF"	2015	206615841	0	0	0	206615841	3884377.82	0	0	3884377.82	0	0	0	0	0	3884377.82	0	0	0	0	0	3884377.82	1.88000000445271	1.88000000445271
"48"	"CZ"	"Czechia"	"TOTAL"	2022	18992194650	0	0	0	18992194650	888878365.11	0	0	888878365.11	3010863827	924628456.24	0	1469945680.47	0	1505168055.4	13399771309.8	15959292.83	0	0	14308440473.21	15813608528.61	83.2637239667823	83.2637239667823
"49"	"CY"	"Cyprus"	"ERDF"	2022	367214564	0	0	0	367214564	17952476.59	0	0	17952476.59	49937205.81	21767838.52	0	18842304.23	0	27279539.65	257529342.74	0	0	0	279297181.26	306576720.91	83.4870811142447	83.4870811142447
"50"	"CY"	"Cyprus"	"CF"	2023	258856192	0	0	0	258856192	10134768	0	0	10134768	51156203.27	19972936.28	0	21746800.61	0	19571234.38	219312021.34	0	0	0	239284957.62	258856192	100	100
"51"	"DE"	"Germany"	"TOTAL"	2021	11935900615	0	0	0	11935900615	433390687.37	0	0	433390687.37	1566948256.07	295221665.66	0	847985689.92	0	857131587.86	5482316726.95	1748307.95	0	0	5775790084.66	6632921672.52	55.5711871811694	55.5711871811694
"52"	"HR"	"Croatia"	"TOTAL"	2015	6881045559	0	0	0	6881045559	129363656.52	0	0	129363656.52	0	0	0	0	0	129363656.52	0	0	0	0	0	129363656.52	1.88000000015695	1.88000000015695
"53"	"AT"	"Austria"	"TOTAL"	2020	536262079	0	0	0	536262079	15122590.62	0	0	15122590.62	66791441.93	4357479.49	0	33623355.97	0	43933197.09	156442109.88	0	0	0	160799589.37	204732786.46	38.1777482461146	38.1777482461146
"54"	"LT"	"Lithuania"	"CF"	2023	2039817626	0	0	0	2039817626	57779477.04	0	0	57779477.04	377581747.83	47708185.15	0	257249253.28	0	130403786.44	1863133911.35	1428256.94	0	0	1909413839.56	2039817626	100	100
"55"	"CY"	"Cyprus"	"TOTAL"	2023	626070756	0	0	0	626070756	28087244.59	0	0	28087244.59	103654139.55	45916416.41	0	43339972.23	0	42484995.5	537669344.09	0	0	0	583585760.5	626070756	100	100
"56"	"SI"	"Slovenia"	"ERDF"	2016	1390392899	0	0	0	1390392899	39209079.75	0	0	39209079.75	26139386.5	0	0	0	0	65348466.25	0	0	0	0	0	65348466.25	4.69999999978423	4.69999999978423
"57"	"MT"	"Malta"	"ERDF"	2019	384353997	0	0	0	384353997	10838782.71	0	0	10838782.71	37032507.59	2604668.5	0	24040672.33	0	21225949.47	112291754.81	0	0	0	114896423.31	136122372.78	35.4158858350574	35.4158858350574
"58"	"LU"	"Luxembourg"	"ERDF"	2022	89189782	0	0	0	89189782	11003074.62	0	0	11003074.62	4602868.02	1266464.38	0	1357823.64	0	12981654.62	37294363.38	830013.35	0	0	37730814.41	50712469.03	56.8590570498311	56.8590570498311
"59"	"RO"	"Romania"	"ERDF"	2022	12376137876	0	0	0	12376137876	868546842.66	0	0	868546842.66	1805977722.57	283353877.8	0	1048475922.14	0	1342694765.29	7162881720.28	11907266.25	0	0	7434328331.83	8777023097.12	70.9189182042044	70.9189182042044
"60"	"HR"	"Croatia"	"ERDF"	2019	4321499588	0	0	0	4321499588	121866288.39	0	0	121866288.39	416376485.36	16587490.86	0	283000468.13	0	238654814.76	1078824528.38	0	0	0	1095412019.24	1334066834	30.8704607471086	30.8704607471086
"61"	"RO"	"Romania"	"CF"	2019	6934996977	0	0	0	6934996977	260755886.36	0	0	260755886.36	668186958.8	45957467.63	0	434811197.85	0	448174179.68	1616163134.42	0	0	0	1662120602.05	2110294781.73	30.4296424169876	30.4296424169876
"62"	"BE"	"Belgium"	"TOTAL"	2026	1077621364	0	0	0	1077621364	42388295.19	0	0	42388295.19	180713574.01	50464972.27	0	110172408.92	0	62464488.01	941179287.42	2389164.25	0	0	989255095.44	1051719583.45	97.596393184536	97.596393184536
"63"	"LT"	"Lithuania"	"ERDF"	2026	3683799188	0	0	0	3683799188	205241059.83	0	0	205241059.83	650736307.51	228092657.73	0	382719611.37	0	245165098.24	3211380277.09	838845.06	0	0	3438634089.76	3683799188	100	100
"64"	"CZ"	"Czechia"	"CF"	2016	6258925722	0	0	0	6258925722	176501705.37	0	0	176501705.37	117667803.58	0	0	0	0	294169508.95	50159973.56	0	0	0	50159973.56	344329482.51	5.50141506392525	5.50141506392525
"65"	"PL"	"Poland"	"TOTAL"	2022	65303824966	0	0	0	65303824966	2495161516.89	0	0	2495161516.89	10477260989.1	3422847244.25	0	4833323125.02	0	4716252136.72	51546311979.52	121449294.64	0	0	54847709929.13	59563962065.85	91.2105257186108	91.2105257186108
