"ms"	"ms_name"	"fund"	"year"	"planned_eu_amount"	"n_3_decommitment_amount"	"de_commitments_at_closure"	"rec_at_closure"	"net_planned_eu_amount"	"cumulative_initial_pre_financing"	"cumulative_additional_initial_pre_financing"	"recovery_of_initial_pre_financing"	"net_initial_pre_financing"	"cumulative_annual_pre_financing"	"annual_pre_financing_covered_by_expenditure"	"pf_covered_by_expenditure_at_closure_clearing"	"recovery_of_annual_pre_financing"	"recovery_of_pf_at_closure"	"net_annual_pre_financing"	"cumulative_interim_payments"	"recovery_of_expenses"	"recovery_of_expenses_at_closure"	"payment_at_closure"	"net_interim_payments"	"total_net_payments"	"eu_payment_rate"	"eu_payment_rate_on_planned_eu_amount"
"257"	"LT"	"Lithuania"	"ERDF"	2024	3683799188	0	0	0	3683799188	205241059.83	0	0	205241059.83	650736307.51	228092657.73	0	382719611.37	0	245165098.24	3211380277.09	838845.06	0	0	3438634089.76	3683799188	100	100
"258"	"SE"	"Sweden"	"ERDF"	2024	1008026234	19872	0	0	1008006362	35269351.35	0	0	35269351.35	177032301.79	79331844.15	0	86056740.85	0	46913068.14	874058449.59	1692594.81	0	0	951697698.93	998610767.07	99.0679032113093	99.0659502091887
"259"	"SE"	"Sweden"	"TOTAL"	2015	944998230	0	0	0	944998230	17765966	0	0	17765966	0	0	0	0	0	17765966	0	0	0	0	0	17765966	1.8799999233861	1.8799999233861
"260"	"CY"	"Cyprus"	"TOTAL"	2017	594767585	0	0	0	594767585	21123211.09	0	0	21123211.09	24416775.31	241661.63	0	10316943.91	0	34981380.86	87843724.69	0	0	0	88085386.32	123066767.18	20.6915726888512	20.6915726888512
"261"	"BG"	"Bulgaria"	"CF"	2022	2206897416	0	0	0	2206897416	64248261.45	0	0	64248261.45	372039051.39	66199016.56	0	211626161.97	0	158462134.31	1050794991.88	0	0	0	1116994008.44	1275456142.75	57.7940838347513	57.7940838347513
"262"	"AT"	"Austria"	"TOTAL"	2014	536262079	0	0	0	536262079	5040863.54	0	0	5040863.54	0	0	0	0	0	5040863.54	0	0	0	0	0	5040863.54	0.939999999515163	0.939999999515163
"263"	"SK"	"Slovakia"	"CF"	2025	3991001427	0	0	0	3991001427	117544690.23	0	0	117544690.23	758615800.8	181965515.68	0	464003290.32	0	230191685.03	3620073765.29	41229539	0	0	3760809741.97	3991001427	100	100
"264"	"LV"	"Latvia"	"CF"	2016	1349414695	0	0	0	1349414695	38053494.39	0	0	38053494.39	25368996.26	0	0	0	0	63422490.65	81573822.09	0	0	0	81573822.09	144996312.74	10.745126259352	10.745126259352
"265"	"SK"	"Slovakia"	"CF"	2023	3991001427	0	0	0	3991001427	117544690.23	0	0	117544690.23	758615800.8	149074082.72	0	417074694.74	0	310011713.57	3117124628.63	41229539	0	0	3224969172.35	3534980885.92	88.5737815578085	88.5737815578085
"266"	"RO"	"Romania"	"CF"	2023	6534996977	0	0	0	6534996977	260755886.36	0	0	260755886.36	1255853692.19	299294685.84	0	652395235.07	0	564919657.64	5670782633.52	0	0	0	5970077319.36	6534996977	100	100
"267"	"AT"	"Austria"	"ERDF"	2022	693957603	0	0	0	693957603	70841758.02	0	0	70841758.02	93872243.01	9827645.88	0	56477429.22	0	98408925.93	489400645.56	0	0	0	499228291.44	597637217.37	86.1201339658786	86.1201339658786
"268"	"HU"	"Hungary"	"TOTAL"	2024	17406099478	0	0	0	17406099478	708633792.81	0	0	708633792.81	2955716095.18	461915261.12	0	2193689413.77	0	1008745213.1	17628370084.45	1692931080.67	0	0	16397354264.9	17406099478	100	100
"269"	"MT"	"Malta"	"TOTAL"	2017	602096106	0	0	0	602096106	16979110.17	0	0	16979110.17	26176128.18	0	0	11319406.78	0	31835831.57	43268958.6	0	0	0	43268958.6	75104790.17	12.4738873780393	12.4738873780393
"270"	"BG"	"Bulgaria"	"CF"	2014	1144687261	0	0	0	1144687261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"271"	"PT"	"Portugal"	"CF"	2017	2861742164	0	0	0	2861742164	94151317.19	0	0	94151317.19	124414240.57	0	0	53800752.68	0	164764805.08	172570269.47	0	0	0	172570269.47	337335074.55	11.7877521879361	11.7877521879361
"272"	"CZ"	"Czechia"	"CF"	2021	6143946095	0	0	0	6143946095	176501705.37	0	0	176501705.37	893106147.31	243289838.74	0	441502996.58	0	384815017.36	4107159987.83	0	0	0	4350449826.57	4735264843.93	77.0720441018127	77.0720441018127
"273"	"CY"	"Cyprus"	"CF"	2019	294869025	0	0	0	294869025	10134768	0	0	10134768	27309525.23	4984167.39	0	14356522.42	0	18103603.42	89203135.55	0	0	0	94187302.94	112290906.36	38.0816216148848	38.0816216148848
"274"	"PL"	"Poland"	"ERDF"	2018	40213870235	0	0	0	40213870235	1134031140.72	0	0	1134031140.72	2787826554.4	110970647.62	0	1637327361.08	0	2173559686.42	8205507519.61	95003789.49	0	0	8221474377.74	10395034064.16	25.8493748634836	25.8493748634836
"275"	"PL"	"Poland"	"CF"	2015	23207989042	0	0	0	23207989042	436310193.98	0	0	436310193.98	0	0	0	0	0	436310193.98	0	0	0	0	0	436310193.98	1.87999999995863	1.87999999995863
"276"	"PT"	"Portugal"	"TOTAL"	2020	13782015630	0	0	0	13782015630	448711844.13	0	0	448711844.13	1698741049.53	328615913.24	0	717097348.31	0	1101739632.11	6835761514.53	0	0	0	7164377427.77	8266117059.88	59.9775626569943	59.9775626569943
"277"	"PT"	"Portugal"	"TOTAL"	2015	13638657876	0	0	0	13638657876	320508460.1	0	0	320508460.1	0	0	0	0	0	320508460.1	0	0	0	0	0	320508460.1	2.35000000010265	2.35000000010265
"278"	"TC"	"Interreg"	"TOTAL"	2021	9410256783	1306860	0	0	9408949923	277009954.59	0	0	277009954.59	1425146510.54	273242344.24	0	793378204.08	0	635535916.81	4997782236.19	4078814.76	0	0	5266945765.67	5902481682.48	62.7326293665513	62.7239173020556
"279"	"RO"	"Romania"	"TOTAL"	2017	17661077676	0	0	0	17661077676	664056520.67	0	0	664056520.67	767815351.99	0	0	332028260.32	0	1099843612.34	1070046235.58	0	0	0	1070046235.58	2169889847.92	12.2862822287946	12.2862822287946
"280"	"DE"	"Germany"	"TOTAL"	2024	12288205012	0	0	0	12288205012	480506440.17	0	0	480506440.17	2057845907.31	683454013.46	0	1182697512.9	0	672200821.12	10880247268.42	7045175.33	0	0	11556656106.55	12228856927.67	99.5170321111013	99.5170321111013
"281"	"IE"	"Ireland"	"TOTAL"	2016	409206529	0	0	0	409206529	13462894.8	0	0	13462894.8	7693082.74	0	0	0	0	21155977.54	0	0	0	0	0	21155977.54	5.16999999772731	5.16999999772731
"282"	"SI"	"Slovenia"	"TOTAL"	2017	2330732258	0	0	0	2330732258	64458524.01	0	0	64458524.01	99373557.85	0	0	42972349.34	0	120859732.52	141732346.05	0	0	0	141732346.05	262592078.57	11.2665055228321	11.2665055228321
"283"	"CZ"	"Czechia"	"TOTAL"	2017	18084635726	0	0	0	18084635726	513229152.96	0	0	513229152.96	791228277.49	0	0	342152768.64	0	962304661.81	1296975555.41	0	0	0	1296975555.41	2259280217.22	12.4928157329255	12.4928157329255
"284"	"DK"	"Denmark"	"ERDF"	2018	206615841	0	0	0	206615841	5826566.73	0	0	5826566.73	14323643.23	1143178.5	0	7839445.23	0	11167586.23	34939694.31	0	0	0	36082872.81	47250459.04	22.8687494682462	22.8687494682462
"285"	"EE"	"Estonia"	"TOTAL"	2022	3112781061	0	0	0	3112781061	155343307.29	0	0	155343307.29	488305051.74	95837981.88	0	248177768.09	0	299632609.06	2549912773.03	86086807.46	0	0	2559663947.45	2859296556.51	91.8566548844085	91.8566548844085
"286"	"UK"	"United Kingdom"	"ERDF"	2017	5856532225	0	0	0	5856532225	164281476.84	0	0	164281476.84	253267276.84	0	0	109520984.56	0	308027769.12	309042645.41	0	0	0	309042645.41	617070414.53	10.5364470103296	10.5364470103296
"287"	"LT"	"Lithuania"	"TOTAL"	2014	5550329393	0	0	0	5550329393	52173096.29	0	0	52173096.29	0	0	0	0	0	52173096.29	0	0	0	0	0	52173096.29	0.939999999924329	0.939999999924329
"288"	"IE"	"Ireland"	"TOTAL"	2014	409206529	0	0	0	409206529	5769812.06	0	0	5769812.06	0	0	0	0	0	5769812.06	0	0	0	0	0	5769812.06	1.41000000026881	1.41000000026881
"289"	"UK"	"United Kingdom"	"TOTAL"	2023	5851663462	58022554	0	0	5793640908	164281476.84	0	0	164281476.84	1075492112.92	343865663.13	0	531264455.99	0	364643470.64	4580463308.94	17075633.36	0	0	4907253338.71	5271896809.35	90.9945385477798	90.0922762148757
"290"	"EU28"	"EU28"	"TOTAL"	2018	262554503303	30442834	0	0	262524060469	7777465944.88	750910432.28	0	8528376377.16	18114480051.78	904473387.76	0	10390512587.99	0	15347870453.19	47419557295.59	220153286.39	0	0	48103877396.96	63451747850.15	24.1698790338658	24.1670765695928
"291"	"HU"	"Hungary"	"TOTAL"	2025	17406099478	0	0	0	17406099478	708633792.81	0	0	708633792.81	2955716095.18	461915261.12	0	2193689413.77	0	1008745213.1	17628370084.45	1692931080.67	0	0	16397354264.9	17406099478	100	100
"292"	"BE"	"Belgium"	"TOTAL"	2017	953009307	0	0	0	953009307	26778362.34	0	0	26778362.34	41283308.62	0	0	17852241.56	0	50209429.4	35270978.39	0	0	0	35270978.39	85480407.79	8.96952497337993	8.96952497337993
"293"	"IE"	"Ireland"	"ERDF"	2014	409206529	0	0	0	409206529	5769812.06	0	0	5769812.06	0	0	0	0	0	5769812.06	0	0	0	0	0	5769812.06	1.41000000026881	1.41000000026881
"294"	"MT"	"Malta"	"ERDF"	2017	384353997	0	0	0	384353997	10838782.71	0	0	10838782.71	16709790.01	0	0	7225855.14	0	20322717.58	32289542.52	0	0	0	32289542.52	52612260.1	13.688490430867	13.688490430867
"295"	"LT"	"Lithuania"	"CF"	2015	2048917626	0	0	0	2048917626	38519651.36	0	0	38519651.36	0	0	0	0	0	38519651.36	0	0	0	0	0	38519651.36	1.8799999995705	1.8799999995705
"296"	"PL"	"Poland"	"ERDF"	2014	19277643297	0	0	0	19277643297	117131373.74	0	0	117131373.74	0	0	0	0	0	117131373.74	0	0	0	0	0	117131373.74	0.607602142727831	0.607602142727831
"297"	"SE"	"Sweden"	"ERDF"	2015	944998230	0	0	0	944998230	17765966	0	0	17765966	0	0	0	0	0	17765966	0	0	0	0	0	17765966	1.8799999233861	1.8799999233861
"298"	"IE"	"Ireland"	"ERDF"	2016	409206529	0	0	0	409206529	13462894.8	0	0	13462894.8	7693082.74	0	0	0	0	21155977.54	0	0	0	0	0	21155977.54	5.16999999772731	5.16999999772731
"299"	"MT"	"Malta"	"TOTAL"	2022	584508391	0	0	0	584508391	16979110.17	0	0	16979110.17	97818159.86	24133634.34	0	54440708.96	0	36222926.73	353690665.54	0	0	0	377824299.88	414047226.61	70.8368319403647	70.8368319403647
"300"	"DK"	"Denmark"	"ERDF"	2014	206615841	0	0	0	206615841	1942188.91	0	0	1942188.91	0	0	0	0	0	1942188.91	0	0	0	0	0	1942188.91	0.940000002226354	0.940000002226354
"301"	"SE"	"Sweden"	"ERDF"	2019	934750041	19872	0	0	934730169	26648949	0	0	26648949	90508702.96	19606878.09	0	45640205.96	0	51910567.91	336747465.41	1333879.85	0	0	355020463.65	406931031.56	43.5345990806466	43.5336735716709
"302"	"SK"	"Slovakia"	"ERDF"	2015	7360295382	0	0	0	7360295382	138373553.16	0	0	138373553.16	0	0	0	0	0	138373553.16	0	0	0	0	0	138373553.16	1.87999999970653	1.87999999970653
"303"	"UK"	"United Kingdom"	"TOTAL"	2022	5861030512	58022554	0	0	5803007958	164281476.84	0	0	164281476.84	959551429.66	275650674.08	0	483301407.36	0	364880825.06	3850815752.73	17075633.36	0	0	4109390793.45	4474271618.51	77.1026276526433	76.3393333194441
"304"	"RO"	"Romania"	"TOTAL"	2024	18911134853	0	0	0	18911134853	1129302729.02	0	0	1129302729.02	3304685776.16	941664619.38	0	1962973200.26	0	1529350685.54	16506961038.29	97679377	0	0	17350946280.67	18880296966.21	99.8369326482535	99.8369326482535
"305"	"IE"	"Ireland"	"ERDF"	2018	410775098	0	0	0	410775098	13462894.8	0	0	13462894.8	28408773.79	691346.69	0	17098907.15	0	24081414.75	73601616.8	0	0	0	74292963.49	98374378.24	23.9484766041003	23.9484766041003
"306"	"CY"	"Cyprus"	"ERDF"	2017	299898560	0	0	0	299898560	10988443.09	0	0	10988443.09	12698449.81	0	0	5491221.54	0	18195671.36	58326285.47	0	0	0	58326285.47	76521956.83	25.5159467354561	25.5159467354561
"307"	"EE"	"Estonia"	"TOTAL"	2015	2947583275	0	0	0	2947583275	55414565.56	0	0	55414565.56	0	0	0	0	0	55414565.56	12769753.42	0	0	0	12769753.42	68184318.98	2.31322790973565	2.31322790973565
"308"	"DK"	"Denmark"	"TOTAL"	2022	362448078	0	0	0	362448078	24291911.58	0	0	24291911.58	39577327.44	8181069.95	0	18738305.81	0	36949863.26	151479526.95	0	0	0	159660596.9	196610460.16	54.2451380194655	54.2451380194655
"309"	"SK"	"Slovakia"	"TOTAL"	2014	11528546809	0	0	0	11528546809	88021765.46	0	0	88021765.46	0	0	0	0	0	88021765.46	0	0	0	0	0	88021765.46	0.763511368070119	0.763511368070119
"310"	"CY"	"Cyprus"	"CF"	2022	258856192	0	0	0	258856192	10134768	0	0	10134768	45979079.43	14853629.95	0	21688983.1	0	19571234.38	194389619.81	0	0	0	209243249.76	228814484.14	88.394441087969	88.394441087969
"311"	"ES"	"Spain"	"ERDF"	2017	20565226649	0	0	0	20565226649	638552276.36	0	0	638552276.36	843751872.28	16000732	0	348886283.02	0	1117417133.62	1106670328.48	0	0	0	1122671060.48	2240088194.1	10.8926015372115	10.8926015372115
"312"	"EE"	"Estonia"	"ERDF"	2014	1874261393	0	0	0	1874261393	17618057.09	0	0	17618057.09	0	0	0	0	0	17618057.09	0	0	0	0	0	17618057.09	0.939999999775912	0.939999999775912
"313"	"PL"	"Poland"	"CF"	2020	23139930966	0	0	0	23139930966	654465290.97	0	0	654465290.97	2890468785.12	709435186.67	0	1149114116.68	0	1686384772.74	12000402635.06	193650.61	0	0	12709644171.12	14396028943.86	62.2129295243465	62.2129295243465
"314"	"CY"	"Cyprus"	"ERDF"	2025	367214564	0	0	0	367214564	17952476.59	0	0	17952476.59	52497936.28	29983049.23	0	22939491.7	0	17527871.94	319703642.83	0	0	0	349686692.06	367214564	100	100
"315"	"FR"	"France"	"TOTAL"	2020	8482341975	1961802	0	0	8480380173	237689732.43	0	0	237689732.43	1049748037.71	140107388.73	0	515355283.6	0	631975097.81	3255499379.78	12373816.33	0	0	3383232952.18	4015208049.99	47.3470288840788	47.3360784300376
"316"	"CZ"	"Czechia"	"CF"	2023	6143946095	0	0	0	6143946095	176501705.37	0	0	176501705.37	1134669899.47	413380930.42	0	517169748.7	0	380620925.72	5349944238.86	0	0	0	5763325169.28	6143946095	100	100
"317"	"SI"	"Slovenia"	"TOTAL"	2024	2586473468	0	0	0	2586473468	100469478.51	0	0	100469478.51	418039558.84	134548156.92	0	259942057.16	0	124018823.27	2344826783.19	16920295.38	0	0	2462454644.73	2586473468	100	100
"318"	"BG"	"Bulgaria"	"TOTAL"	2018	5845974756	0	0	0	5845974756	164856488.07	0	0	164856488.07	405272199.88	37537325.18	0	216616427.29	0	315974935.48	1013586387.19	0	0	0	1051123712.37	1367098647.85	23.3852985158186	23.3852985158186
"319"	"CY"	"Cyprus"	"TOTAL"	2018	594767585	0	0	0	594767585	21123211.09	0	0	21123211.09	39791517.41	3496813.5	0	20919961.81	0	36497953.19	196034703.36	0	0	0	199531516.86	236029470.05	39.6843197246535	39.6843197246535
"320"	"FI"	"Finland"	"TOTAL"	2019	791976209	0	0	0	791976209	22252604.61	0	0	22252604.61	76181840.74	13914459.75	0	40864223.98	0	43655761.62	332936165.4	0	0	0	346850625.15	390506386.77	49.3078431311817	49.3078431311817
"321"	"AT"	"Austria"	"TOTAL"	2015	536262079	0	0	0	536262079	10081727.08	0	0	10081727.08	0	0	0	0	0	10081727.08	0	0	0	0	0	10081727.08	1.87999999903032	1.87999999903032
"322"	"LV"	"Latvia"	"TOTAL"	2025	3912472250	0	0	0	3912472250	133257057.36	0	0	133257057.36	701225946.38	84805267.26	0	517444876.99	0	232232859.49	3598524388.93	3090265.68	0	0	3680239390.51	3912472250	100	100
"323"	"TC"	"Interreg"	"ERDF"	2017	9260255380	0	0	0	9260255380	277009954.59	0	0	277009954.59	427399386.11	169395.88	0	184517809.7	0	519722135.12	248903394.38	0	0	0	249072790.26	768794925.38	8.30209204640747	8.30209204640747
"324"	"FI"	"Finland"	"TOTAL"	2015	789099456	0	0	0	789099456	14835069.74	0	0	14835069.74	0	0	0	0	0	14835069.74	0	0	0	0	0	14835069.74	1.87999999584336	1.87999999584336
"325"	"EE"	"Estonia"	"TOTAL"	2018	2922618697	0	0	0	2922618697	83121848.34	0	0	83121848.34	203579001.14	23212733.42	0	84754998.05	0	178733118.01	756401349.41	0	0	0	779614082.83	958347200.84	32.7907024554288	32.7907024554288
"326"	"ES"	"Spain"	"ERDF"	2022	29101440102	2111646	0	0	29099328456	1684672125.11	0	21531983.27	1663140141.84	3425783190.75	571530000	0	1845521789.07	0	2671871543.52	16047507592.05	192750753.43	0	0	16426286838.62	19098158382.14	65.6309248201985	65.6261625376659
"327"	"BG"	"Bulgaria"	"CF"	2017	2278307144	0	0	0	2278307144	64248261.45	0	0	64248261.45	99049403.07	0	0	42832174.3	0	120465490.22	112815351.15	0	0	0	112815351.15	233280841.37	10.2392182715291	10.2392182715291
"328"	"DE"	"Germany"	"ERDF"	2023	12288205012	0	0	0	12288205012	480506440.17	0	0	480506440.17	2057845907.31	566176906.55	0	1047230134.29	0	924945306.64	8870919417.94	3025634.91	0	0	9434070689.58	10359015996.22	84.3004815276433	84.3004815276433
"329"	"PL"	"Poland"	"CF"	2021	23139930966	0	0	0	23139930966	654465290.97	0	0	654465290.97	3353267404.44	974422000.91	0	1538592593.41	0	1494718101.09	15413863761.31	193650.61	0	0	16388092111.61	17882810212.7	77.2811735651917	77.2811735651917
"330"	"MT"	"Malta"	"ERDF"	2014	384353997	0	0	0	384353997	3612927.57	0	0	3612927.57	0	0	0	0	0	3612927.57	0	0	0	0	0	3612927.57	0.939999999531682	0.939999999531682
"331"	"BG"	"Bulgaria"	"TOTAL"	2016	5845974756	0	0	0	5845974756	164856488.07	0	0	164856488.07	109904325.38	0	0	0	0	274760813.45	215671108.03	0	0	0	215671108.03	490431921.48	8.38922407211298	8.38922407211298
"332"	"SK"	"Slovakia"	"CF"	2020	3991001427	0	0	0	3991001427	117544690.23	0	0	117544690.23	519155715.18	48084982.1	0	240879048.05	0	347736375.26	1721136063.72	17581484.69	0	0	1751639561.13	2099375936.39	52.6027357992724	52.6027357992724
"333"	"LT"	"Lithuania"	"TOTAL"	2017	5550329393	0	0	0	5550329393	156519288.87	0	0	156519288.87	241300570.36	0	0	104346192.58	0	293473666.65	627382519.44	0	0	0	627382519.44	920856186.09	16.59101867452	16.59101867452
"334"	"PT"	"Portugal"	"ERDF"	2025	12707935176	0	0	0	12707935176	553394273.89	0	0	553394273.89	1943225820.81	880685176.96	0	915799293.89	0	700135623.85	11144410716.29	17296341.1	0	0	12007799552.15	12707935176	100	100
"335"	"CZ"	"Czechia"	"ERDF"	2022	12848248555	0	0	0	12848248555	712376659.74	0	0	712376659.74	1994878757.79	580015170.18	0	1006887209.31	0	1120353038.04	8665717019.86	15959292.83	0	0	9229772897.21	10350125935.25	80.5567069390338	80.5567069390338
"336"	"MT"	"Malta"	"CF"	2015	217742109	0	0	0	217742109	4093551.64	0	0	4093551.64	0	0	0	0	0	4093551.64	0	0	0	0	0	4093551.64	1.87999999577482	1.87999999577482
"337"	"CZ"	"Czechia"	"ERDF"	2025	12848248555	0	0	0	12848248555	712376659.74	0	0	712376659.74	2248771495.71	923580532.16	37210057.17	1184607777.42	0	815749788.7	11085923278.48	16009566.99	0	0	12030704300.82	12846454089.52	99.9860333844546	99.9860333844546
"338"	"EU28"	"EU28"	"ERDF"	2020	200405616341	198871609	0	0	200206744732	5877997173.05	537270092.92	21531983.27	6393735282.7	24725027853.06	3236079920.84	0	12200365460.86	0	15682317754.06	82857828947.4701	541039933.9	0	0	85552868934.41	101235186688.47	50.5653227737083	50.5151445038413
"339"	"CY"	"Cyprus"	"CF"	2024	258856192	0	0	0	258856192	10134768	0	0	10134768	51156203.27	21385187.23	0	25511673.5	0	14394110.54	223076894.23	0	0	0	244462081.46	258856192	100	100
"340"	"EE"	"Estonia"	"TOTAL"	2025	3112781061	0	0	0	3112781061	155343307.29	0	0	155343307.29	548319872.3	129197423.35	0	356673815.12	0	217791941.12	2971046041.66	205254345.13	0	0	2894989119.88	3112781061	100	100
"341"	"FI"	"Finland"	"TOTAL"	2014	789099456	0	0	0	789099456	7395703.03	0	0	7395703.03	0	0	0	0	0	7395703.03	0	0	0	0	0	7395703.03	0.937233320054399	0.937233320054399
"342"	"HR"	"Croatia"	"CF"	2020	2130755644	0	0	0	2130755644	72179196.39	0	0	72179196.39	314754700	11507073.97	0	169043028.57	0	206383793.85	436028644.5	0	0	0	447535718.47	653919512.32	30.6895590848896	30.6895590848896
"343"	"RO"	"Romania"	"TOTAL"	2018	17661077676	0	0	0	17661077676	664056520.67	0	0	664056520.67	1224354209.94	0	0	767815351.99	0	1120595378.62	2229714594.22	0	0	0	2229714594.22	3350309972.84	18.9700200310698	18.9700200310698
"344"	"LU"	"Luxembourg"	"TOTAL"	2014	19502403	0	0	0	19502403	183322.59	0	0	183322.59	0	0	0	0	0	183322.59	0	0	0	0	0	183322.59	0.940000009229632	0.940000009229632
"345"	"MT"	"Malta"	"CF"	2024	204992109	0	0	0	204992109	6140327.46	0	0	6140327.46	39419306.16	14763487.05	0	22342003.18	0	8454143.39	181774478.56	0	0	0	196537965.61	204992109	100	100
"346"	"BG"	"Bulgaria"	"TOTAL"	2021	6020735225	0	0	0	6020735225	185399620.46	0	0	185399620.46	838085152.11	186184011.31	0	435236981.65	0	402063779.61	2853636721.53	0	0	0	3039820732.84	3441884512.45	57.1671794859572	57.1671794859572
"347"	"RO"	"Romania"	"TOTAL"	2022	18911134853	0	0	0	18911134853	1129302729.02	0	0	1129302729.02	2931131475.22	458547420.53	0	1694272360.78	0	1907614422.93	11766254896.64	11907266.25	0	0	12212895050.92	14120509473.85	74.6677001862211	74.6677001862211
"348"	"AT"	"Austria"	"TOTAL"	2016	536262079	0	0	0	536262079	15122590.62	0	0	15122590.62	10081727.08	0	0	0	0	25204317.7	0	0	0	0	0	25204317.7	4.69999999757581	4.69999999757581
"349"	"LV"	"Latvia"	"TOTAL"	2020	3712517750	0	0	0	3712517750	105768813.51	0	0	105768813.51	467145593.02	31088005.44	0	231312971.94	0	310513429.15	1673735123.4	1507380.69	0	0	1703315748.15	2013829177.3	54.2442976144693	54.2442976144693
"350"	"HR"	"Croatia"	"ERDF"	2015	4321499588	0	0	0	4321499588	81244192.26	0	0	81244192.26	0	0	0	0	0	81244192.26	0	0	0	0	0	81244192.26	1.88000000012958	1.88000000012958
"351"	"EE"	"Estonia"	"CF"	2023	1061534677	0	0	0	1061534677	30267677.07	0	0	30267677.07	196418673.35	38388453.92	0	92600104.84	0	95697791.66	1084600988.28	135725459.54	0	0	987263982.66	1082961774.32	102.018501871324	102.018501871324
"352"	"TC"	"Interreg"	"ERDF"	2019	9410256783	219823	0	0	9410036960	277009954.59	0	0	277009954.59	954666403.28	48967413.53	0	635154107.2	0	547554837.14	2170928508.21	663480.35	0	0	2219232441.39	2766787278.53	29.4025123417794	29.4018255009609
"353"	"RO"	"Romania"	"ERDF"	2015	10726080699	0	0	0	10726080699	302475475.74	0	0	302475475.74	0	0	0	0	0	302475475.74	0	0	0	0	0	302475475.74	2.82000000026291	2.82000000026291
"354"	"SE"	"Sweden"	"TOTAL"	2024	1008026234	19872	0	0	1008006362	35269351.35	0	0	35269351.35	177032301.79	79331844.15	0	86056740.85	0	46913068.14	874058449.59	1692594.81	0	0	951697698.93	998610767.07	99.0679032113093	99.0659502091887
"355"	"SE"	"Sweden"	"TOTAL"	2019	934750041	19872	0	0	934730169	26648949	0	0	26648949	90508702.96	19606878.09	0	45640205.96	0	51910567.91	336747465.41	1333879.85	0	0	355020463.65	406931031.56	43.5345990806466	43.5336735716709
"356"	"EU28"	"EU28"	"CF"	2025	61455291487	20507335	0	0	61434784152	1899468771.83	213640339.36	0	2113109111.19	11513212152.62	3820369154.86	188775706.73	6448250457.89	0	3168925944.33	55481636833.38	1224923487.3	0	0	58265858207.67	61434784152	100	99.9666304812754
"357"	"AT"	"Austria"	"ERDF"	2017	536262079	0	0	0	536262079	15122590.62	0	0	15122590.62	23313993.89	0	0	10081727.08	0	28354857.43	33441668.05	0	0	0	33441668.05	61796525.48	11.5235680276397	11.5235680276397
"358"	"LT"	"Lithuania"	"ERDF"	2023	3683799188	0	0	0	3683799188	205241059.83	0	0	205241059.83	650736307.51	160466938.86	0	331980660.39	0	363529768.09	3160641326.11	838845.06	0	0	3320269419.91	3683799188	100	100
"359"	"LT"	"Lithuania"	"ERDF"	2021	3642321924	0	0	0	3642321924	124773450.23	0	0	124773450.23	508947274.07	67272448	0	274202734.59	0	292245541.71	2248006473.35	838845.06	0	0	2314440076.29	2606685618	71.5665905537898	71.5665905537898
"360"	"EE"	"Estonia"	"ERDF"	2025	2051246384	0	0	0	2051246384	125075630.22	0	0	125075630.22	351901198.95	90808969.43	0	222664565.36	0	163503294.38	1839999562.81	43065442.62	0	0	1887743089.62	2051246384	100	100
"361"	"DK"	"Denmark"	"ERDF"	2021	329718140	0	0	0	329718140	19367819.62	0	0	19367819.62	32328365.88	5000028.61	0	15324984.35	0	31371172.54	117363065.74	0	0	0	122363094.35	153734266.89	46.6259657081652	46.6259657081652
"362"	"HU"	"Hungary"	"TOTAL"	2020	16829123749	0	0	0	16829123749	473258257.29	0	0	473258257.29	2091976072.46	156770503.79	0	1055119337.28	0	1353344488.68	9867723138.9	882229081.44	0	0	9142264561.25	10495609049.93	62.3657488438972	62.3657488438972
"363"	"SK"	"Slovakia"	"ERDF"	2021	7273406331	147316596	0	0	7126089735	228999439.08	0	0	228999439.08	1048470799.23	71707297.96	0	654562418.24	0	551200522.11	2684670526.47	37469637.84	0	0	2718908186.59	3270108708.7	45.8892440357405	44.9597968253535
"364"	"PT"	"Portugal"	"CF"	2016	2861742164	0	0	0	2861742164	94151317.19	0	0	94151317.19	53800752.68	0	0	0	0	147952069.87	39981122.93	0	0	0	39981122.93	187933192.8	6.56709032575165	6.56709032575165
"365"	"GR"	"Greece"	"ERDF"	2014	8165716612	0	0	0	8165716612	17858550.19	0	0	17858550.19	0	0	0	0	0	17858550.19	0	0	0	0	0	17858550.19	0.218701567034004	0.218701567034004
"366"	"LU"	"Luxembourg"	"ERDF"	2025	89189782	0	0	0	89189782	11003074.62	0	0	11003074.62	6386663.66	4024915.67	0	2166963.63	0	11197858.98	74689590.79	1030974.31	0	0	77683532.15	88881391.13	99.654230716698	99.654230716698
"367"	"IE"	"Ireland"	"TOTAL"	2020	470775098	0	0	0	470775098	13462894.8	0	0	13462894.8	51093793.67	9257936.89	0	25627136.44	0	29671615.14	221943437.5	0	0	0	231201374.39	260872989.53	55.4135064998701	55.4135064998701
"368"	"GR"	"Greece"	"ERDF"	2020	9095012525	0	0	0	9095012525	307011481.72	537270092.92	0	844281574.64	1052468134.69	166775320.51	0	459994590.58	0	1269979798.24	5020628566.01	17233.23	0	0	5187386653.29	6457366451.53	70.9989836053579	70.9989836053579
